fix_time,mean_snr,max_snr,var_snr,hdop,pdop,tracked_satellites,fix_quality,delta_mean_snr,rolling_var_snr,spoof_flag_raw,known_spoof_window
23.8,46.715,52.221,26.04,1.5,1.5,14,2,0.0,0.0,0,0
24.0,46.697,52.222,26.337,1.5,1.5,14,2,-0.018,0.0,0,0
24.2,46.692,52.213,26.328,1.5,1.5,14,2,-0.005,0.0,0,0
24.4,46.692,52.231,26.47,1.5,1.5,14,2,0.0,0.0,0,0
24.6,46.697,52.229,26.345,1.5,1.5,14,2,0.005,0.0,0,0
24.8,46.693,52.235,26.534,1.5,1.5,14,2,-0.005,0.0,0,0
25.0,46.69,52.232,26.356,1.5,1.5,14,2,-0.002,0.0,0,0
25.2,46.702,52.23,26.365,1.5,1.5,14,2,0.011,0.0,0,0
25.4,46.71,52.233,26.195,1.5,1.5,14,2,0.008,0.0,0,0
25.6,46.716,52.235,26.001,1.5,1.5,14,2,0.006,0.0,0,0
25.8,46.717,52.237,26.115,1.5,1.5,14,2,0.001,0.0,0,0
26.0,46.722,52.227,25.973,1.5,1.5,14,2,0.005,0.0,0,0
26.2,46.722,52.219,26.001,1.5,1.5,14,2,-0.001,0.0,0,0
26.4,46.715,52.227,26.092,1.5,1.5,14,2,-0.006,0.0,0,0
26.6,46.711,52.224,26.049,1.5,1.5,14,2,-0.005,0.0,0,0
26.8,46.71,52.226,26.179,1.5,1.5,14,2,-0.0,0.0,0,0
27.0,46.722,52.22,25.947,1.5,1.5,14,2,0.012,0.0,0,0
27.2,46.715,52.206,25.955,1.5,1.5,14,2,-0.007,0.0,0,0
27.4,46.708,52.201,26.067,1.5,1.5,14,2,-0.007,0.0,0,0
27.6,46.699,52.188,26.138,1.5,1.5,14,2,-0.009,0.0,0,0
27.8,46.702,52.186,26.171,1.5,1.5,14,2,0.002,0.0,0,0
28.0,46.696,52.206,26.238,1.5,1.5,14,2,-0.006,0.0,0,0
28.2,46.685,52.185,26.127,1.5,1.5,14,2,-0.01,0.0,0,0
28.4,46.67,52.17,26.269,1.5,1.5,14,2,-0.016,0.0,0,0
28.6,46.658,52.171,26.345,1.5,1.5,14,2,-0.011,0.0,0,0
28.8,46.656,52.161,26.297,1.5,1.5,14,2,-0.002,0.0,0,0
29.0,46.665,52.154,26.163,1.5,1.5,14,2,0.009,0.0,0,0
29.2,46.645,52.154,26.336,1.5,1.5,14,2,-0.02,0.0,0,0
29.4,46.637,52.156,26.357,1.5,1.5,14,2,-0.008,0.0,0,0
29.6,46.632,52.164,26.424,1.5,1.5,14,2,-0.004,0.001,0,0
29.8,46.633,52.159,26.289,1.5,1.5,14,2,0.001,0.0,0,0
30.0,46.639,52.163,26.107,1.5,1.5,14,2,0.006,0.0,0,0
30.2,46.649,52.162,26.03,1.5,1.5,14,2,0.01,0.0,0,0
30.4,46.649,52.141,25.748,1.5,1.5,14,2,-0.001,0.0,0,0
30.6,46.656,52.134,25.682,1.5,1.5,14,2,0.008,0.0,0,0
30.8,46.654,52.1,25.531,1.5,1.5,14,2,-0.002,0.0,0,0
31.0,46.646,52.087,25.444,1.5,1.5,14,2,-0.008,0.0,0,0
31.2,46.65,52.074,25.395,1.5,1.5,14,2,0.004,0.0,0,0
31.4,46.662,52.056,25.088,1.5,1.5,14,2,0.013,0.0,0,0
31.6,46.677,52.039,24.825,1.5,1.5,14,2,0.015,0.0,0,0
31.8,46.677,52.029,24.629,1.5,1.5,14,2,0.0,0.0,0,0
32.0,46.675,52.022,24.627,1.5,1.5,14,2,-0.002,0.0,0,0
32.2,46.683,52.011,24.451,1.5,1.5,14,2,0.008,0.0,0,0
32.4,46.669,52.001,24.453,1.5,1.5,14,2,-0.014,0.0,0,0
32.6,46.675,51.974,24.45,1.5,1.5,14,2,0.006,0.0,0,0
32.8,46.676,51.965,24.433,1.5,1.5,14,2,0.001,0.0,0,0
33.0,46.679,51.946,24.418,1.5,1.5,14,2,0.004,0.0,0,0
33.2,46.68,51.933,24.191,1.5,1.5,14,2,0.001,0.0,0,0
33.4,46.681,51.929,24.191,1.5,1.5,14,2,0.001,0.0,0,0
33.6,46.691,51.91,23.995,1.5,1.5,14,2,0.01,0.0,0,0
33.8,46.703,51.906,23.925,1.5,1.5,14,2,0.012,0.0,0,0
34.0,46.693,51.893,23.858,1.5,1.5,14,2,-0.01,0.0,0,0
34.2,46.709,51.886,23.629,1.5,1.5,14,2,0.016,0.0,0,0
34.4,46.718,51.883,23.517,1.5,1.5,14,2,0.009,0.0,0,0
34.6,46.722,51.868,23.387,1.5,1.5,14,2,0.004,0.0,0,0
34.8,46.742,51.858,23.278,1.5,1.5,14,2,0.02,0.0,0,0
35.0,46.74,51.848,23.172,1.5,1.5,14,2,-0.003,0.0,0,0
35.2,46.746,51.836,23.074,1.5,1.5,14,2,0.006,0.0,0,0
35.4,46.745,51.828,22.993,1.5,1.5,14,2,-0.001,0.0,0,0
35.6,46.754,51.823,22.945,1.5,1.5,14,2,0.008,0.0,0,0
35.8,46.751,51.82,22.965,1.5,1.5,14,2,-0.003,0.0,0,0
36.0,46.748,51.815,23.039,1.5,1.5,14,2,-0.003,0.0,0,0
36.2,46.751,51.824,23.13,1.5,1.5,14,2,0.003,0.0,0,0
36.4,46.754,51.827,23.184,1.5,1.5,14,2,0.004,0.0,0,0
36.6,46.751,51.83,23.253,1.5,1.5,14,2,-0.004,0.0,0,0
36.8,46.747,51.835,23.322,1.5,1.5,14,2,-0.004,0.0,0,0
37.0,46.758,51.839,23.423,1.5,1.5,14,2,0.012,0.0,0,0
37.2,46.743,51.841,23.637,1.5,1.5,14,2,-0.016,0.0,0,0
37.4,46.729,51.835,23.908,1.5,1.5,14,2,-0.014,0.0,0,0
37.6,46.717,51.85,24.058,1.5,1.5,14,2,-0.012,0.0,0,0
37.8,46.711,51.873,24.196,1.5,1.5,14,2,-0.006,0.0,0,0
38.0,46.703,51.878,24.382,1.5,1.5,14,2,-0.008,0.0,0,0
38.2,46.694,51.89,24.545,1.5,1.5,14,2,-0.01,0.0,0,0
38.4,46.701,51.899,24.518,1.5,1.5,14,2,0.008,0.0,0,0
38.6,46.691,51.912,24.675,1.5,1.5,14,2,-0.01,0.001,0,0
38.8,46.69,51.913,24.624,1.5,1.5,14,2,-0.001,0.0,0,0
39.0,46.678,51.923,24.763,1.5,1.5,14,2,-0.012,0.0,0,0
